date,description,amount
2025-01-02,NETFLIX.COM 8829,-15.49
2025-01-05,Whole Foods Market,-62.13
2025-01-08,SPOTIFY P1A2B3,-10.99
2025-01-12,Shell Gas Station,-48.00
2025-01-15,ICLOUD STORAGE,-2.99
2025-02-02,NETFLIX.COM 1182,-15.49
2025-02-07,SPOTIFY X9Z8,-10.99
2025-02-09,Corner Bistro,-31.40
2025-02-15,ICLOUD STORAGE,-2.99
2025-02-20,GITHUB.COM 4455,-4.00
2025-03-02,NETFLIX.COM 5567,-15.49
2025-03-07,SPOTIFY KK21,-10.99
2025-03-15,ICLOUD STORAGE,-2.99
2025-03-20,GITHUB.COM 9921,-4.00
2025-04-02,NETFLIX.COM 7781,-15.49
2025-04-15,ICLOUD STORAGE,-2.99
2025-04-20,GITHUB.COM 3310,-4.00
